,text,actions
0,she said she not yet decided anything she is not responding to calls and msgs,"['said', 'decided', 'responding', 'calls', 'msgs']"
1,he is not responding to calls and msgs,"['responding', 'calls', 'msgs']"
2,lead assigned to ramakrishna katta by anshul lead assigned to raj hegde by anshul ,"['lead', 'lead']"
3,still number shows off,['off']
4,lead assigned to raj hegde by anshul ,[]
5,he said he will call me once he get free he said if interested he will call me,"['said', 'call', 'free', 'interested', 'call']"
6,tried calling him again he still not picking up the call tried again he disconnecting the call,"['tried', 'calling', 'picking', 'call', 'disconnecting', 'call']"
7,lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"['lead', 'lead']"
8,tried again still she is not responding to calls and msgs,"['responding', 'calls', 'msgs']"
9,tried again still not responding to call rnr tried again still not responding to call rnr tried again still not responding to call rnr ,"['tried', 'responding', 'call', 'responding', 'call', 'responding']"
10,lead assigned to amit by anshul ,['amit']
11,he asked me to call on saturday to discuss had a call he said he will check and update he said he will inform if intrested,"['asked', 'call', 'discuss', 'call', 'check', 'update', 'inform']"
12,she said she is not interested as of now,['interested']
13,not responding to call rnr tried again he still not responding to call rnr,"['responding', 'call', 'responding', 'call']"
14,number busy call disconnected tried again he still not responding to call,"['busy', 'disconnected', 'tried', 'responding', 'call']"
15,he said he will call me when he get free time to discuss the details he said he is not intretsed,"['said', 'call', 'discuss', 'intretsed']"
16,tried again number switched off now,"['tried', 'switched off']"
17,he said he want to associate as a channel partner so shared number to manoj sir,"['said', 'associate', 'partner', 'shared']"
18,not responding to call rnr tried again still not responding to call rnr,"['responding', 'call', 'responding', 'call']"
19,lead assigned to preeti srinivasan by anshul lead assigned to ramakrishna katta by anshul lead assigned to amit by anshul ,"['lead', 'lead', 'lead']"
20,he said he is looking for fund raising for his project,['raising']
21,tried again still not responding to call rnr tried again still not responding to call rnr ,"['tried', 'responding', 'call', 'responding']"
22,he asked me to share details through whtsapp he said he will check and upadte he said he is not intretsed,"['asked', 'share', 'whtsapp', 'said', 'check', 'upadte']"
23,had a call explained and shared details of investment through whtsapp he is not responding to calls and msgs he said he is not intrested,"['call', 'shared', 'investment', 'responding', 'calls', 'msgs']"
24,had a call explained and shared details through whtsapp he said he will connect with me today at post lunch he said he is not intretsed,"['call', 'shared', 'connect', 'lunch']"
25,lead assigned to ramakrishna katta by anshul ,[]
26,he said he not yet decided anything he said he will come back if intrested,"['said', 'decided', 'come']"
27,he asked me to share details through whtsapp he said he is not intrested,"['asked', 'share', 'whtsapp', 'said']"
28,he is not responding to calls and msgs tried agains still not responding to calls and msgs,"['responding', 'calls', 'msgs', 'responding', 'calls', 'msgs']"
29,he said he is not intretsed,['intretsed']
30,not responding to calls and msgs tried again not responding to calls and msgs,"['responding', 'calls', 'msgs', 'responding', 'calls', 'msgs']"
31,tried again still not responding to call rnr tried again still not responding to calls and msgs,"['tried', 'responding', 'call', 'responding', 'calls', 'msgs']"
32,he said he not yet decided anything he said he need some more time discuss on the investment or else he asked me call me after a week,"['said', 'decided', 'discuss', 'asked', 'call']"
